덜쯤,숌냔,휑퍅,품澗턍송(禱),역턍송(禱),離멕송(禱),離됴송(禱),澗턍송(禱),냥슥좆(믈),냥슥쏜띨(禱),朗딨(禱),朗딨류(%),엇송(禱),뻣癎쪽(%),A믈직繫懇令(禱),B믈직繫懇令(禱),悧懇令(禱),A믈직繫믈굶(믈),B믈직繫믈굶(믈),悧믈굶(믈),懇簞쪽,懇씐쪽,懇饋쪽,懇君쪽,
002102.SZ,ST박르,20070416,16.71,17,17.6,16.99,17.45,835427,14450316,0.74,4.4285,17.2969,2.7848,523500000,,1983596607.1,30000000,0,113673158,60.1266,9.806,5.9327,11.6171,
002102.SZ,ST박르,20070417,17.45,17.69,17.8,16.71,17.02,856679,14621101.5,-0.43,-2.4642,17.0672,2.8556,510600000,,1934717149.16,30000000,0,113673158,58.6449,9.5644,5.7865,11.3309,
002102.SZ,ST박르,20070418,17.02,17.07,17.12,16.71,17.09,850681,14345518.4,0.07,0.4113,16.8636,2.8356,512700000,,1942674270.22,30000000,0,113673158,58.8861,9.6037,5.8103,11.3775,
002102.SZ,ST박르,20070419,17.09,17.07,17.12,16.17,16.19,1502413,24725309.3,-0.9,-5.2662,16.4571,5.008,485700000,,1840368428.02,30000000,0,113673158,55.7851,9.098,5.5044,10.7783,
002102.SZ,ST박르,20070420,16.19,16.62,16.95,16.41,16.81,405820,6820848.6,0.62,3.8295,16.8076,1.3527,504300000,,1910845785.98,30000000,0,113673158,57.9214,9.4464,5.7151,11.1911,
002102.SZ,ST박르,20070423,16.81,16.99,17.55,16.6,17.3,1283049,21985702.2,0.49,2.9149,17.1355,4.2768,519000000,,1966545633.4,30000000,0,113673158,59.6097,9.7217,5.8817,11.5173,
002102.SZ,ST박르,20070424,17.3,17.3,17.45,16.7,17,920589,15616151.6,-0.3,-1.7341,16.9632,3.0686,510000000,,1932443686,30000000,0,113673158,58.576,9.5532,5.7797,11.3176,
002102.SZ,ST박르,20070425,17,16.92,17.18,16.62,17,1283352,21677511.5,0,0,16.8913,4.2778,510000000,,1932443686,30000000,0,113673158,53.2261,4.9768,5.7797,11.3176,
002102.SZ,ST박르,20070426,17,17.15,18.7,17.11,18.7,2397452,43950293.2,1.7,10,18.3321,7.9915,561000000,,2125688054.6,30000000,0,113673158,58.5487,5.4745,6.3577,12.4493,
002102.SZ,ST박르,20070427,18.7,18.8,18.97,18,18.11,1832050,33566381.6,-0.59,-3.1551,18.3218,6.1068,543300000,,2058620891.38,30000000,0,113673158,56.7015,5.3018,6.1571,12.0565,
002102.SZ,ST박르,20070430,18.11,18.11,18.11,18.11,18.11,,,0,0,,,543300000,,2058620891.38,30000000,0,113673158,56.7015,5.3018,6.1571,12.0565,
002102.SZ,ST박르,20070508,18.11,18.66,19.9,18.66,19.1,1846681,35593454.5,0.99,5.4666,19.2743,6.1556,573000000,,2171157317.8,30000000,0,113673158,59.8011,5.5916,6.4937,12.7156,
002102.SZ,ST박르,20070509,19.1,19.1,19.37,18.41,18.83,852244,16061726.6,-0.27,-1.4136,18.8464,2.8408,564900000,,2140465565.14,30000000,0,113673158,58.9557,5.5126,6.4019,12.5359,
