ด๚ย๋,ผ๒ณฦ,ศีฦฺ,วฐสีลฬผÛ(ิช),ฟชลฬผÛ(ิช),ื๎ธ฿ผÛ(ิช),ื๎ตอผÛ(ิช),สีลฬผÛ(ิช),ณษฝปมฟ(นษ),ณษฝปฝ๐ถ๎(ิช),ีวต๘(ิช),ีวต๘ท๙(%),พ๙ผÛ(ิช),ปปสึยส(%),Aนษม๗อจสะึต(ิช),Bนษม๗อจสะึต(ิช),ืÜสะึต(ิช),Aนษม๗อจนษฑพ(นษ),Bนษม๗อจนษฑพ(นษ),ืÜนษฑพ(นษ),สะำฏยส,สะพปยส,สะฯ๚ยส,สะฯึยส,
603848.SH,บรฬซฬซ,20180413,19.92,19.94,21.22,19.65,20.51,13629547,280854350,0.59,2.9618,20.6063,33.2428,840910000,,8224510000,41000000,0,401000000,39.9647,10.9859,7.3913,24.7984,
603848.SH,บรฬซฬซ,20180416,20.51,19.88,20.98,19.8,19.94,7296654,147627523,-0.57,-2.7791,20.2322,17.7967,817540000,,7995940000,41000000,0,401000000,38.848,7.3484,7.1858,24.1092,
603848.SH,บรฬซฬซ,20180417,19.94,20.78,21.9,20.38,21.23,15735500,333704597,1.29,6.4694,21.2071,38.3793,870430000,,8513230000,41000000,0,401000000,41.3612,7.8238,7.6507,25.669,
603848.SH,บรฬซฬซ,20180418,21.23,21,21.78,19.96,21.38,9924004,207197567,0.15,0.7065,20.8784,24.2049,876580000,,8573380000,41000000,0,401000000,41.6535,7.879,7.7048,25.8503,
603848.SH,บรฬซฬซ,20180419,21.38,20.94,21.35,20.45,20.49,6516559,135599357,-0.89,-4.1628,20.8084,15.894,840090000,,8216490000,41000000,0,401000000,39.9195,7.551,7.3841,24.7742,
603848.SH,บรฬซฬซ,20180420,20.49,20.33,20.79,20.16,20.56,3944211,80848257,0.07,0.3416,20.498,9.62,842960000,,8244560000,41000000,0,401000000,40.0559,7.5768,7.4093,24.8589,
603848.SH,บรฬซฬซ,20180423,20.56,20.15,20.67,19.25,19.52,4701366,92928248,-1.04,-5.0584,19.7662,11.4667,800320000,,7827520000,41000000,0,401000000,38.0297,7.1936,7.0345,23.6014,
603848.SH,บรฬซฬซ,20180424,19.52,19.55,20.24,19.5,20.2,4485623,89350473,0.68,3.4836,19.9193,10.9405,828200000,,8100200000,41000000,0,401000000,39.3545,7.4442,7.2795,24.4236,
603848.SH,บรฬซฬซ,20180425,20.2,20,20.95,19.99,20.44,4129534,85022458,0.24,1.1881,20.5889,10.072,838040000,,8196440000,41000000,0,401000000,39.8221,7.5326,7.366,24.7138,
603848.SH,บรฬซฬซ,20180426,20.44,20.44,20.69,19.6,19.98,3225694,65132858,-0.46,-2.2505,20.1919,7.8675,819180000,,8011980000,41000000,0,401000000,38.9259,7.3631,7.2003,24.1576,
