測鎢,潠備,�梪�,ヶ彶攫歎(啋),羲攫歎(啋),郔詢歎(啋),郔腴歎(啋),彶攫歎(啋),傖蝠講(嘖),傖蝠踢塗(啋),梀視(啋),梀視盟(%),歙歎(啋),遙忒薹(%),A嘖霜籵庈硉(啋),B嘖霜籵庈硉(啋),軞庈硉(啋),A嘖霜籵嘖掛(嘖),B嘖霜籵嘖掛(嘖),軞嘖掛(嘖),庈荅薹,庈噱薹,庈种薹,庈珋薹,
600660.SH,腦珓產薛,20070403,433.1307,433.1307,446.8085,430.8511,444.7568,6308131,122542009,11.6261,2.6842,19.426,1.3673,9001291026.19,,19539131668.66,461368069,0,1001493166,31.8248,7.3247,4.966,-9037.5518,
600660.SH,腦珓產薛,20070404,444.7568,444.5289,469.6049,444.5289,468.921,8789988,177452260,24.1641,5.4331,20.188,1.9052,9490341179.33,,20600714424.62,461368069,0,1001493166,33.5538,7.7227,5.2358,-9528.5713,
600660.SH,腦珓產薛,20070405,468.921,468.693,480.3192,456.611,469.6049,5489880,114277639,0.6839,0.1458,20.8161,1.1899,9504182221.4,,20630759219.6,461368069,0,1001493166,33.6028,7.734,5.2434,-9542.4688,
600660.SH,腦珓產薛,20070406,469.6049,467.3252,478.2675,455.0152,475.7599,3532772,72795370,6.155,1.3107,20.6057,0.7657,9628751600.03,,20901162374.42,461368069,0,1001493166,34.0432,7.8353,5.3121,-9667.5391,
600660.SH,腦珓產薛,20070409,475.7599,475.7599,491.7173,467.5532,486.9301,4975897,106060045,11.1702,2.3479,21.3148,1.0785,9854821953.84,,21391894025.76,461368069,0,1001493166,34.8425,8.0193,5.4368,-9894.5205,
600660.SH,腦珓產薛,20070410,486.9301,474.3921,486.9301,455.9271,475.304,7522329,156269388,-11.6261,-2.3876,20.7741,1.6304,9619524238.65,,20881132511.1,461368069,0,1001493166,34.0106,7.8278,5.307,-9658.2754,
600660.SH,腦珓產薛,20070411,475.304,475.076,475.076,460.4863,471.6565,4104210,83899434,-3.6474,-0.7674,20.4423,0.8896,9545705347.61,,20720893604.54,461368069,0,1001493166,33.7496,7.7678,5.2663,-9584.1592,
600660.SH,腦珓產薛,20070412,471.6565,471.4286,477.5836,455.9271,475.7599,4431885,90168446,4.1033,0.87,20.3454,0.9606,9628751600.03,,20901162374.42,461368069,0,1001493166,31.1498,6.9529,5.3121,-9667.5391,
600660.SH,腦珓產薛,20070413,475.7599,475.076,475.076,456.155,457.5228,8319502,168240028,-18.2371,-3.8333,20.2224,1.8032,9259657144.83,,20099967841.62,461368069,0,1001493166,29.9557,6.6864,5.1085,-9296.958,
600660.SH,腦珓產薛,20070416,457.5228,460.4863,469.6049,455.9271,467.5532,5559917,113269394,10.0304,2.1923,20.3725,1.2051,9462659095.19,,20540624834.66,461368069,0,1001493166,30.6125,6.8329,5.2205,-9500.7783,
